,R_nm,wavelength_nm,abs
0,5.0,299.99999999999994,0.025921638323282894
1,5.0,301.8205360510256,0.025441545764049427
2,5.0,303.65211994042846,0.024977280866585832
3,5.0,305.4948187115015,0.024521801441479238
4,5.0,307.34869981438766,0.0240749448180799
5,5.0,309.21383110854777,0.023636512916854417
6,5.0,311.090280865244,0.02321085553795798
7,5.0,312.9781177700405,0.022804601369090384
8,5.0,314.8774109253156,0.02240543729513115
9,5.0,316.78822985279277,0.02201325014627687
10,5.0,318.7106444960851,0.021627913186793354
11,5.0,320.6447252232542,0.02125273914091284
12,5.0,322.590542829388,0.02089535003893237
13,5.0,324.5481685391911,0.02054369705960567
14,5.0,326.51767400959096,0.020197693528885733
15,5.0,328.4991313323629,0.01985727984642076
16,5.0,330.49261303676684,0.019522371904363067
17,5.0,332.49819209220385,0.019202451850442014
18,5.0,334.5159419108865,0.018894154490119327
19,5.0,336.5459363505251,0.01859029509291564
20,5.0,338.5882497170328,0.018290849844214578
21,5.0,340.64295676724487,0.017995745232497622
22,5.0,342.710132711654,0.017707718734627273
23,5.0,344.7898532171655,0.017435234880335538
24,5.0,346.8821944098645,0.017166269971627755
25,5.0,348.9872328778047,0.01690081483366816
26,5.0,351.1050456738107,0.016638847385039526
27,5.0,353.235710318298,0.01638035144659844
28,5.0,355.37930480211173,0.016134544515514417
29,5.0,357.53590758938094,0.015897283964179054
30,5.0,359.70559762038977,0.01566270695767621
31,5.0,361.8884543144689,0.015430816708417429
32,5.0,364.0845575729004,0.015201614014261846
33,5.0,366.29398778184435,0.014975102822185019
34,5.0,368.5168258152807,0.014756950518549607
35,5.0,370.7531530379682,0.014550969378331786
36,5.0,373.00305130842503,0.014346929098540663
37,5.0,375.26660298192394,0.01414484585952782
38,5.0,377.54389091350566,0.013944745666160217
39,5.0,379.8349984610141,0.013746649274822548
40,5.0,382.1400094881463,0.013555967192692104
41,5.0,384.4590083675211,0.013376083656536806
42,5.0,386.7920799837703,0.01319756359226199
43,5.0,389.1393097366425,0.01302043935267364
44,5.0,391.50078354413176,0.012844753918414619
45,5.0,393.87658784562177,0.0126705338624873
46,5.0,396.2668096050482,0.012497802006534145
47,5.0,398.6715363140849,0.012335250026076378
48,5.0,401.0908559953435,0.012178998038720738
49,5.0,403.5248572055977,0.01202366997104675
50,5.0,405.97362903902393,0.011869304185709697
51,5.0,408.4372611304615,0.011715946136519842
52,5.0,410.9158436586954,0.011563630700550985
53,5.0,413.4094673497567,0.011414190526907262
54,5.0,415.91822348024186,0.011276699273198165
55,5.0,418.4422038806563,0.011139771606958462
56,5.0,420.9815009387745,0.011003457026028094
57,5.0,423.53620760302096,0.010867802440577237
58,5.0,426.1064173858746,0.010732851031625624
59,5.0,428.69222436728916,0.010598642327517732
60,5.0,431.2937231981393,0.010469939269952223
61,5.0,433.91100910368397,0.010349045957671865
62,5.0,436.5441778870512,0.010228483274650561
63,5.0,439.193325932747,0.010108300712075755
64,5.0,441.8585502101821,0.009988541483954087
65,5.0,444.5399482772207,0.00986924666540436
66,5.0,447.2376182837536,0.009750461157608041
67,5.0,449.95165897528835,0.009632224147427643
68,5.0,452.68216969656606,0.00952250609007637
69,5.0,455.42925039519685,0.00941557489104399
70,5.0,458.193001625317,0.00930886839870267
71,5.0,460.97352455127213,0.009202425610665466
72,5.0,463.77092095131906,0.009096292831663685
73,5.0,466.58529322134984,0.008990501991360934
74,5.0,469.4167443786431,0.00888509641064712
75,5.0,472.2653780656311,0.008783355353931726
76,5.0,475.1312985536969,0.008687085942172733
77,5.0,478.0146107469895,0.008590975658529999
78,5.0,480.91542018626245,0.008495064589800675
79,5.0,483.8338330527399,0.008399390184800579
80,5.0,486.7699561720018,0.00830398505472053
81,5.0,489.72389701789285,0.008208885547436356
82,5.0,492.695763716459,0.00811411763801832
83,5.0,495.68566504990423,0.008019738774159174
84,5.0,498.6937104605708,0.007931054354411599
85,5.0,501.72001005494866,0.007842600718814144
86,5.0,504.7646746077019,0.007754409611508609
87,5.0,507.8278155657271,0.007666511332565033
88,5.0,510.90954505223095,0.007578930066264179
89,5.0,514.0099758708333,0.007491694242318858
90,5.0,517.1292215096994,0.0074048246736087035
91,5.0,520.2673961456901,0.00731835331675644
92,5.0,523.424614648545,0.007234675063957816
93,5.0,526.6009925850851,0.007151709135694395
94,5.0,529.7966462234419,0.007069118786006016
95,5.0,533.0116925373161,0.006986921549195551
96,5.0,536.2462492102579,0.0069051399437060675
97,5.0,539.5004346399732,0.006823791152722871
98,5.0,542.7743679426601,0.006742892199718462
99,5.0,546.0681689573681,0.006662460983206729
100,5.0,549.3819582503829,0.00658266722578915
101,5.0,552.7158571196431,0.006503698826366643
102,5.0,556.069987599176,0.006425229740194975
103,5.0,559.4444724635682,0.006347276549653617
104,5.0,562.8394352324586,0.006269849788698507
105,5.0,566.2550001750573,0.006192958224591167
106,5.0,569.6912923146986,0.006116615679807437
107,5.0,573.1484374334129,0.006040830296415
108,5.0,576.6265620765347,0.005965610670538568
109,5.0,580.1257935573325,0.005890968476830023
110,5.0,583.6462599616696,0.005817114288577396
111,5.0,587.1880901526913,0.0057440071294856945
112,5.0,590.7514137755447,0.00567146576125134
113,5.0,594.3363612621206,0.005599494532050787
114,5.0,597.9430638358309,0.0055281036102835315
115,5.0,601.571653516411,0.005457300559847627
116,5.0,605.2222631247502,0.00538708722642693
